EmployeeID,I would recommend my friends or Family to work at TheCompany,I feel engaged in my work.,I believe Leadership cares about the employees at TheCompany,My manager supports me in my role at TheCompany,"TheCompany cares about Diversity, Equity and Inclusion.",I believe there is room for me to grow at TheCompany,I work on interesting projects.,My manager motivates me to work hard.,I am motivated to work hard at TheCompany.,I believe I am recognized for the work I do.,I believe there are good career opportunities for me at TheCompany.,I believe TheCompany is in a great position in the market for the next few years to be succesful.,I plan on staying with TheCompany for at least 2 more years.,I believe I am fairly compensated for my work.,I believe there is little to not politics at TheCompany,I feel comfortable going to someone in leadership if there is an issue.,My values align with the culture at TheCompany,I know what TheCompany values are at TheCompany,I feel like I can take off my accrued Paid Time Off (PTO)/Vacation without feeling guilty,survey_quarter,survey_year
100001,3,3,2,1,1,3,2,4,4,2,2,3,4,2,2,4,4,3,3,Q2,2023
100002,3,4,2,4,2,4,4,2,2,4,4,3,1,5,1,2,4,3,1,Q2,2023
100009,3,4,2,3,4,3,2,2,3,4,2,1,1,3,2,2,3,2,4,Q2,2023
100014,4,1,5,2,5,3,4,4,2,3,3,3,4,2,2,4,3,3,2,Q2,2023
100018,4,1,1,1,2,3,1,3,2,3,4,4,3,2,4,3,2,2,3,Q2,2023
100020,3,3,4,1,4,2,2,2,2,4,2,4,3,4,4,3,1,1,3,Q2,2023
100021,4,1,4,2,2,4,4,1,1,4,4,2,3,4,2,3,4,4,4,Q2,2023
100024,4,3,4,2,2,2,2,3,3,4,2,3,3,3,4,3,2,2,2,Q2,2023
100031,4,4,2,4,3,4,4,4,3,5,4,3,4,4,1,3,2,2,4,Q2,2023
100038,3,2,3,2,3,3,1,3,3,2,1,2,2,3,4,3,2,4,4,Q2,2023
100039,3,4,3,4,4,1,4,2,2,3,2,2,4,3,2,4,2,3,2,Q2,2023
100040,2,4,2,1,2,3,3,3,3,3,4,2,5,1,3,4,4,2,2,Q2,2023
100041,2,3,4,2,4,2,4,4,4,3,4,4,2,4,3,2,4,3,2,Q2,2023
100048,2,2,4,4,2,2,3,1,4,4,4,3,5,2,1,1,3,2,3,Q2,2023
100053,4,4,4,1,3,2,4,4,4,3,4,3,3,2,2,4,2,2,1,Q2,2023
100074,3,4,2,3,3,2,4,2,3,3,3,4,2,4,4,4,4,1,2,Q2,2023
100079,4,2,4,4,2,3,2,4,3,4,2,2,3,4,4,4,4,2,3,Q2,2023
100080,3,4,1,3,4,4,4,2,3,3,3,4,1,3,5,4,4,3,2,Q2,2023
100089,2,2,3,2,2,3,4,4,1,1,2,2,3,3,4,3,4,4,2,Q2,2023
100090,3,2,3,1,3,3,4,2,3,2,2,4,2,3,3,2,3,4,4,Q2,2023
100095,3,4,4,4,1,2,3,4,4,4,4,4,4,3,4,3,3,3,3,Q2,2023
100099,3,3,3,4,1,3,2,1,3,4,3,2,2,2,4,1,3,1,2,Q2,2023
100103,1,2,3,3,3,2,4,4,4,4,2,4,1,5,4,2,4,2,2,Q2,2023
100106,3,2,3,3,2,5,3,2,4,4,4,1,2,4,4,1,2,2,4,Q2,2023
100109,2,3,3,2,3,3,3,2,2,1,2,2,4,4,4,4,4,4,4,Q2,2023
100112,2,1,4,4,3,3,4,3,4,2,4,1,3,4,4,1,3,3,4,Q2,2023
100113,3,4,4,4,3,3,4,1,2,4,3,4,4,3,4,4,4,3,4,Q2,2023
100114,4,4,4,1,4,3,4,3,4,2,4,4,4,4,1,2,2,4,3,Q2,2023
100116,3,5,4,3,4,4,2,3,3,4,3,4,3,4,2,4,3,4,3,Q2,2023
100125,1,2,3,4,2,4,2,1,1,3,2,4,3,2,2,4,2,3,3,Q2,2023
100127,4,3,4,2,2,3,2,2,4,2,3,1,2,3,4,1,1,4,4,Q2,2023
